country,year,alcohol_con,sugar_con,tobacco_con,cost_per_person,health_cost_by_gdp
Argentina,2002,10.00,126.03,30.00,225.36,8.32
Australia,2002,10.02,126.03,24.80,1846.88,8.36
Bolivia,2002,5.12,76.71,31.70,59.70,6.53
Brazil,2002,9.16,150.69,,203.09,7.19
Cambodia,2002,4.77,21.92,23.60,25.03,7.49
Canada,2002,9.77,167.12,21.60,2249.07,9.60
China,2002,5.91,19.18,31.80,54.09,4.81
Costa Rica,2002,5.55,158.90,16.80,316.34,7.65
Cuba,2002,5.51,164.38,35.90,194.80,6.50
Denmark,2002,13.37,161.64,33.40,3018.62,9.33
Ecuador,2002,9.38,131.51,14.90,107.50,5.51
Egypt,2002,0.37,76.71,15.10,73.60,6.13
France,2002,13.66,112.33,31.70,2489.20,10.56
Germany,2002,12.81,126.03,31.60,2610.35,10.73
India,2002,2.59,65.75,18.60,21.06,4.54
Iran,2002,1.02,71.23,17.60,101.81,5.10
Japan,2002,8.03,79.45,29.40,2453.54,7.98
Kuwait,2002,0.10,95.89,,656.72,3.57
Mexico,2002,8.42,134.25,24.70,395.87,5.62
Mozambique,2002,2.38,30.14,12.80,13.07,5.97
Nepal,2002,2.41,10.96,30.60,,5.51
Netherlands,2002,10.05,134.25,34.30,2405.07,8.87
Nigeria,2002,12.28,30.14,7.10,17.80,3.91
Pakistan,2002,0.06,76.71,21.10,14.79,2.98
Peru,2002,6.90,104.11,,102.81,4.81
Portugal,2002,14.55,90.41,35.80,1185.94,9.32
Romania,2002,15.30,68.49,32.60,119.40,5.66
Russia,2002,15.76,120.55,48.50,142.05,5.99
Saudi Arabia,2002,0.25,76.71,14.70,377.50,4.30
South Africa,2002,9.46,87.67,18.40,210.54,8.72
Spain,2002,11.62,93.15,33.70,1204.47,7.25
Sweden,2002,10.10,115.07,22.00,2594.85,9.23
Switzerland,2002,11.06,161.64,26.50,4140.60,10.91
Tunisia,2002,1.29,87.67,26.60,127.78,5.85
Turkey,2002,2.87,68.49,35.50,187.74,5.36
United Kingdom,2002,13.37,112.33,35.70,2054.23,7.56
United States,2002,9.44,194.52,23.90,5453.00,14.82
Uruguay,2002,8.14,101.37,32.60,337.20,8.24
Vietnam,2002,3.77,32.88,24.30,22.39,5.14
Zimbabwe,2002,5.08,95.89,15.00,,